# Wordlist

# META
@vowels:T V _

# DATA
ID	﻿ID	CONCEPT	TOKENS	DOCULECT	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CUSTOMID	ALIGNMENT
171	171	new	hoou	Maori	1	3	A	H	2	2.H.C	2.0	hoou	0	171	hoou
405	405	new	vou	Fijian	1	3	A	B	1	1.B.C	2.0	vou	0	170	vou
#
175	175	night	poo	Maori	1	1	A	P	2	2.P.C	2.0	poo	0	172	poo
410	410	night	bogi	Fijian	1	1	A	P	1	1.P.C	2.0	bogi	0	172	bogi
#
29	29	nose	ihu	Maori	1	7	X	I	2	2.I.V	1.5	ihu	0	173	ihu
257	257	nose	ucu-na	Fijian	1	7	X	Y	1	1.Y.V	1.5	ucu-na	0	173	ucu-na
#
170	170	old	pakeke	Maori		1	A	P	2	2.P.C	2.0	pakeke	0	175	pakeke
404	404	old	qase	Fijian	53	1	A	K	1	1.K.C	2.0	qase	0	174	qase
#
207	207	other	atu	Maori	19	7	X	A	2	2.A.V	1.5	atu	0	177	atu
437	437	other	dua tale	Fijian		1 1	AN	TT	1	1.T.C 1.T.c	2.0 0.8	duatale	0	176	dua tale
#
55	55	person/human being	tangata	Maori	"1,66"	1	A	T	2	2.T.C	2.0	tangata	0	178	tangata
285	285	person/human being	tamata	Fijian	"1,66"	1	A	T	1	1.T.C	2.0	tamata	0	178	tamata
#
139	139	rain	ua	Maori	1	7	X	Y	2	2.Y.V	1.5	ua	1	179	ua
374	374	rain	uca	Fijian	1	7	X	Y	1	1.Y.V	1.5	uca	0	179	uca
#
105	105	rat	kiore	Maori	12	1	A	K	2	2.K.C	2.0	kiore	0	180	kiore
341	341	rat	kalavo	Fijian	1	1	A	K	1	1.K.C	2.0	kalavo	0	180	kalavo
#
156	156	red	whero	Maori	36	6	A	W	2	2.W.C	2.0	whero	0	182	whero
391	391	red	damudamu	Fijian		1	A	T	1	1.T.C	2.0	damudamu	0	181	damudamu
#
3	3	right	katau	Maori	"5, 40"	1	A	K	2	2.K.C	2.0	katau	0	184	katau
4	4	right	matau	Maori	"5,13"	4	A	M	2	2.M.C	2.0	matau	0	183	- matau
233	233	right	i matau	Fijian	"5,13"	7 4	XN	IM	1	1.I.V 1.M.c	1.5 0.8	imatau	0	183	i matau
#
7	7	road/path	ara	Maori	1	7	X	A	2	2.A.V	1.5	ara	0	186	ara
236	236	road/path	sala	Fijian	1	3	A	S	1	1.S.C	2.0	sala	0	185	sala
#
118	118	root	paki|aka	Maori	2	1	A	P	2	2.P.C	2.0	paki|aka	0	187	paki|aka
355	355	root	vÅ«-na	Fijian		3	A	B	1	1.B.C	2.0	vÅ«-na	0	187	vÅ«-na
356	356	root	waka-na	Fijian	2	6	A	W	1	1.W.C	2.0	waka-na	0	189	waka-na
#
67	67	rope	taura	Maori	9	1	A	T	2	2.T.C	2.0	taura	0	190	taura
297	297	rope	dali	Fijian	1	1	A	T	1	1.T.C	2.0	dali	0	190	dali
298	298	rope	tÃ ly	Fijian		1	A	T	1	1.T.C	2.0	tÃ ly	0	190	tÃ ly
#
115	115	rotten	pirau	Maori	15	1	A	P	2	2.P.C	2.0	pirau	0	191	pirau
351	351	rotten	vuca	Fijian	9	3	A	B	1	1.B.C	2.0	vuca	0	191	vuca
352	352	rotten	midra	Fijian		4	A	M	1	1.M.C	2.0	midra	0	193	midra
#
131	131	salt	tote	Maori	20?	1	A	T	2	2.T.C	2.0	tote	0	195	tote
366	366	salt	mÄsima	Fijian	47	4	A	M	1	1.M.C	2.0	mÄsima	0	194	mÄsima
#
126	126	sand	one	Maori	1	7	X	U	2	2.U.V	1.5	one	0	197	one
362	362	sand	nuku	Fijian	41	4	A	N	1	1.N.C	2.0	nuku	0	196	nuku
#
129	129	sea	moana	Maori	10	4	A	M	2	2.M.C	2.0	moana	0	199	moana
130	130	sea	tai	Maori	1	1	A	T	2	2.T.C	2.0	tai	0	200	tai
365	365	sea	wasawasa	Fijian	12	6	A	W	1	1.W.C	2.0	wasawasa	0	198	wasawasa
#
83	83	sharp	koi(koi)	Maori	"14,66"	1	A	K	2	2.K.C	2.0	koi(koi)	0	201	koi(koi)
319	319	sharp	gata	Fijian	36	1	A	K	1	1.K.C	2.0	gata	0	201	gata
#
161	161	short	hakahaka	Maori	10	3	A	H	2	2.H.C	2.0	hakahaka	0	203	hakahaka
162	162	short	poto	Maori	9	1	A	P	2	2.P.C	2.0	poto	0	204	poto
